WantedVehMake,WantedVehModel,WantedVehicleTrim,WantedVehYear,WantedCar,,ID,StoreID,ProspectStatus,ProspectSubStatus
Hyundai,Santa Fe Sport,2.4L Auto AWD,2018,2018 Hyundai Santa Fe Sport,,36381511,48,Active,Write Up
Hyundai,Kona,Ultimate DCT AWD,2020,2020 Hyundai Kona,,36689900,48,Active,Demo Vehicle
Hyundai,Elantra,Value Edition 2.0L Auto,2019,2019 Hyundai Elantra,,36030644,48,Active,Up/Contacted
Hyundai,Elantra,SEL IVT SULEV,2021,2021 Hyundai Elantra,,35856028,48,Active,Up/Contacted
,,,,  ,,35413218,48,Active,Unqualified
Hyundai,Tucson,SEL AWD,2021,2021 Hyundai Tucson,,36177982,48,Active,Up/Contacted
Acura,RDX,A-Spec Package,2020,2020 Acura RDX,,36433793,20200,Sold,Delivered
Honda,CR-V,EX,2021,2021 Honda CR-V,,36496808,20250,Sold,Delivered
,,,,  ,,36251820,48,Active,Unqualified
Hyundai,Tucson,SEL AWD,2021,2021 Hyundai Tucson,,35956056,48,Active,Unqualified
Hyundai,Tucson,AWD 4dr Limited,2016,2016 Hyundai Tucson,,37669979,48,Active,Sold
Hyundai,Ioniq Hybrid,Limited Hatchback,2020,2020 Hyundai Ioniq Hybrid,,36971120,48,Active,Sold
,,,,  ,,35760770,48,Active,Up/Contacted
,,,,  ,,35868180,48,Active,Unqualified
Hyundai,Santa Fe,SEL 2.4L Auto AWD,2019,2019 Hyundai Santa Fe,,36139031,48,Active,Lost
,,,,  ,,41512643,48,Active,Unqualified
,,,,  ,,35877435,48,Active,Up/Contacted
Hyundai,Tucson,Limited AWD,2022,2022 Hyundai Tucson,,36133981,48,Active,Unqualified
Hyundai,Santa Fe,SEL 2.0T Auto AWD,2020,2020 Hyundai Santa Fe,,36350789,48,Active,Sold
HYUNDAI,SANTA FE,,2018,2018 HYUNDAI SANTA FE,,36981395,48,Active,Sold
Honda,HR-V,EX,2021,2021 Honda HR-V,,41344347,20250,Sold,Delivered
,,,,  ,,36077961,48,Active,Demo Vehicle
Hyundai,Elantra,Value Edition IVT SULEV,2020,2020 Hyundai Elantra,,36322796,48,Active,Up/Contacted
Hyundai,Santa Fe,SEL AWD,2021,2021 Hyundai Santa Fe,,35985974,48,Active,Up/Contacted
Hyundai,Sonata Hybrid,Blue 2.0L,2021,2021 Hyundai Sonata Hybrid,,35748975,48,Active,Up/Contacted
,,,,  ,,35834332,48,Active,Store Visit
,,,,  ,,35147957,48,Active,Unqualified
Ford,F-150,XL 4WD SuperCrew 5.5' Box,2017,2017 Ford F-150,,35909085,48,Active,Demo Vehicle
Hyundai,Santa Fe,SEL AWD,2021,2021 Hyundai Santa Fe,,36538178,48,Active,Up/Contacted
Hyundai,Elantra GT,Auto,2020,2020 Hyundai Elantra GT,,35936937,48,Active,Up/Contacted
Ford,Super Duty F-250 SRW,XL 4WD Crew Cab 6.75' Box,2019,2019 Ford Super Duty F-250 SRW,,34967951,48,Active,Lost
Hyundai,Elantra,Limited IVT SULEV *Ltd Avail*,2021,2021 Hyundai Elantra,,36613552,48,Active,Store Visit
HYUNDAI,SANTA FE,SEL 2.0T Auto AWD,2020,2020 HYUNDAI SANTA FE,,35709681,48,Active,Sold
,,,,  ,,36064198,48,Active,Store Visit
,,,,  ,,36644125,48,Active,Lost
,,,,  ,,36097140,48,Active,Unqualified
MOTORCYCLE,Harley Davidson,,2012,2012 MOTORCYCLE Harley Davidson,,35495927,48,Active,Sold
Hyundai,Sonata Hybrid,Limited 2.0L,2021,2021 Hyundai Sonata Hybrid,,36432344,48,Active,Up/Contacted
