WantedVehMake,WantedVehModel,WantedVehicleTrim,WantedVehYear,WantedCar,,ID,StoreID,ProspectStatus,ProspectSubStatus
Chevrolet,Silverado 1500,"4WD Crew Cab 143.5"" LTZ",2007,2007 Chevrolet Silverado 1500,,35934370,58,Active,Sold
,,,,  ,,35933417,58,Active,Write Up
,,,,  ,,35932082,769,Sold,Delivered
Toyota,RAV4,AWD 4dr Limited (Natl),2014,2014 Toyota RAV4,,35931693,58,Active,Sold
Honda,Civic Sedan,4dr CVT EX-L w/Navi,2016,2016 Honda Civic Sedan,,35931457,58,Active,Lost
TOYOTA,RAV4,,2021,2021 TOYOTA RAV4,,35930802,58,Active,Sold
,,,,  ,,35926630,20271,Bad,No intent to buy
TOYOTA,TACOMA,,2021,2021 TOYOTA TACOMA,,35924280,58,Active,Sold
,,,,  ,,35966200,20140,Bad,No intent to buy
Mazda,Mazda6,4dr Sdn Auto i Grand Touring,2015,2015 Mazda Mazda6,,35966113,58,Active,Sold
,,,,  ,,35965922,769,Sold,Delivered
Chevrolet,Camaro,2dr Cpe SS w/1SS,2014,2014 Chevrolet Camaro,,35962761,58,Active,Lost
Porsche,Macan,,2021,2021 Porsche Macan,,35956721,184,Active,Write Up
TOYOTA,COROLLA,,2018,2018 TOYOTA COROLLA,,35956326,58,Active,Sold
,,,,  ,,35954842,769,Sold,Delivered
,,,,  ,,35954754,769,Sold,Delivered
,,,,  ,,35954181,301,Bad,Duplicate lead
Ford,Super Duty F-250 SRW,"4WD Crew Cab 156"" XL",2010,2010 Ford Super Duty F-250 SRW,,35949335,58,Active,Sold
TOYOTA,RAV4,,2017,2017 TOYOTA RAV4,,35949280,58,Active,Sold
Toyota,Tacoma 4WD,TRD Sport Double Cab 5' Bed V6 AT (Natl),2021,2021 Toyota Tacoma 4WD,,35948625,58,Active,Sold
Toyota,Prius Prime,Advanced (Natl),2019,2019 Toyota Prius Prime,,35999566,58,Active,Sold
,,,,  ,,35994850,58,Active,Lost
,,,,  ,,35992745,762,Lost,Lead process completed
Porsche,Macan,Turbo AWD w/Performance Pkg,2018,2018 Porsche Macan,,35991919,184,Active,Write Up
,,,,  ,,35990676,301,Lost,Lead process completed
,,,,  ,,35989089,58,Active,Lost
TOYOTA,Highlander Hybrid,,2021,2021 TOYOTA Highlander Hybrid,,35983661,58,Active,Sold
Dodge,Grand Caravan,GT Wagon,2019,2019 Dodge Grand Caravan,,35980542,58,Active,Sold
,,,,  ,,35977613,20180,Active,Waiting for prospect response
Jeep,Wrangler,4WD 2dr Sport,2015,2015 Jeep Wrangler,,35977450,58,Active,Sold
Toyota,RAV4,Hybrid XSE AWD (Natl),2021,2021 Toyota RAV4,,35976370,58,Active,Up/Contacted
TOYOTA,RAV4 Hybrid,,2020,2020 TOYOTA RAV4 Hybrid,,35973988,58,Active,Sold
,,,,  ,,35966742,769,Sold,Delivered
MINI,Cooper Hardtop,2dr Cpe S,2012,2012 MINI Cooper Hardtop,,36025681,58,Active,Lost
Porsche,911,Carrera Coupe,2018,2018 Porsche 911,,36023642,184,Active,Lost
Toyota,Avalon,TRD FWD (Natl),2021,2021 Toyota Avalon,,36020305,58,Active,Lost
Toyota,Corolla,4dr Sdn CVT S (Natl),2016,2016 Toyota Corolla,,36019029,58,Active,Sold
,,,,  ,,36016703,20330,Lost,No agreement reached
Volkswagen,GTI,2dr HB DSG w/Conv & Sunroof PZEV *Ltd Avail*,2013,2013 Volkswagen GTI,,36009887,58,Active,Sold
TOYOTA,COROLLA,,2021,2021 TOYOTA COROLLA,,36009164,58,Active,Sold
Jeep,Wrangler JK Unlimited,Rubicon 4x4,2018,2018 Jeep Wrangler JK Unlimited,,36008691,58,Active,Sold
,,,,  ,,36008332,769,Sold,Delivered
